Id,Transcript,Question
587d0feb-5780-43e1-9595-e19d4b31dc07,2055,What is the patient's name?
263e8884-e8ba-4266-bb0c-85271419a0b3,2055,What is the patient's age?
74c68eca-61b2-49d0-9b1c-0f6f886b04ff,2055,What is the patient's condition?
8572ab5d-f20a-4de5-ab44-f42b07e45a00,2055,What symptoms is the patient experiencing?
f5c92075-ef05-4fbf-a7a0-aa86c586ff02,2055,What precautions did the doctor advise?
03406fb0-e67d-4614-a745-ed02c7ac6c46,2055,What drug did the doctor prescribe?
1f0abde6-83ac-4e8f-b06f-9c9ff72beb88,291,What is the patient's name?
8ce89aa4-9d9c-4174-8e5e-957efbf41256,291,What is the patient's age?
08862b5d-dbc0-4ea1-884c-329eec085ff6,291,What is the patient's condition?
2f9bb4d6-8694-478e-a7f0-83ba534673de,291,What symptoms is the patient experiencing?
2c9319fe-be47-4b0c-aca6-6dca2d4038e8,291,What precautions did the doctor advise?
2bf6c1ea-5eff-409f-b8c7-a8a9ba82fe22,291,What drug did the doctor prescribe?
3f1e45b9-e427-4f0c-abb0-df6ad2361ada,102,What is the patient's name?
c0862f87-da4b-41a3-b3bc-84d5b78dd5ca,102,What is the patient's age?
659c850a-0eea-4b19-96a5-7ddefba4bdac,102,What is the patient's condition?
62b6f344-5b72-49fb-9a7b-cc08a718db84,102,What symptoms is the patient experiencing?
df2d79eb-2f2a-453d-b7ae-9c39f9ffa211,102,What precautions did the doctor advise?
460d50bf-20bc-43e9-a90d-fe7ae9498cf0,102,What drug did the doctor prescribe?
f2deef0a-747b-475e-92c7-efa8205f190e,2966,What is the patient's name?
1e29efef-51f4-475d-948e-5a5149047b23,2966,What is the patient's age?
f815b879-df43-457d-86f0-853e1883dc56,2966,What is the patient's condition?
f0946618-fddb-41de-b337-04425ae98554,2966,What symptoms is the patient experiencing?
00e7e883-33b0-469a-913f-d274c197bc02,2966,What precautions did the doctor advise?
af99f588-00a7-4b48-9e3e-ed0370e5095e,2966,What drug did the doctor prescribe?
b760e0d5-9167-4f92-b740-7d62e5d3e169,2438,What is the patient's name?
d85b10be-cf5e-4512-86cd-1361c3914198,2438,What is the patient's age?
973e7603-cb79-4b6e-9c32-633339ee3eb6,2438,What is the patient's condition?
63a69102-9e34-431c-9dd0-d644c0cf796e,2438,What symptoms is the patient experiencing?
c9f1b2e8-de0f-40b0-ad89-443c9d68e5f1,2438,What precautions did the doctor advise?
62a68619-ea92-4d3c-94ac-ed43d4f4c327,2438,What drug did the doctor prescribe?
eb02d08a-1022-4129-acf7-2e9f11f425ec,4271,What is the patient's name?
ccb1d8e6-65ff-4bce-85ad-5c618d62ad45,4271,What is the patient's age?
62d07e74-c90e-4685-8dc8-7ab436e30c5e,4271,What is the patient's condition?
0c5e7b45-694d-4974-a983-080605a78317,4271,What symptoms is the patient experiencing?
62303268-b221-4ec1-89d2-01bf28b21963,4271,What precautions did the doctor advise?
6eaff715-c7f4-4e5d-aada-55b37bb639ca,4271,What drug did the doctor prescribe?
c1c3b8d3-3815-407b-a403-c33c9a8393d0,3538,What is the patient's name?
fa4021d6-1713-4e76-adbe-064480be6cff,3538,What is the patient's age?
c0ec170c-bde4-4e77-98f8-33855b134611,3538,What is the patient's condition?
8697aeb8-bb36-4171-b2bc-ee1f1804911b,3538,What symptoms is the patient experiencing?
b8497593-2536-468d-a260-070d1c1084f6,3538,What precautions did the doctor advise?
a6ecf101-3688-4852-b226-96b510934c62,3538,What drug did the doctor prescribe?
481580fa-39de-41e9-a8b9-d6d18f761ea1,2441,What is the patient's name?
9469a5eb-1c23-4521-93a7-354d89f29fb6,2441,What is the patient's age?
631a80c5-aabd-46bd-a23a-027fad6da8de,2441,What is the patient's condition?
e006d48b-b8df-44f2-9ebf-acc1a0d5ef32,2441,What symptoms is the patient experiencing?
